Id,Label,timeset,target,componentnumber,degree,clustering,triangles,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,eigencentrality,modularity_class,Cluster
69,69,,10,0,1,0,0,10,0.214642,0.226419,0,0.009173,5,1
70,70,,6,0,9,0.444444,16,9,0.203655,0.217128,6492.373206,0.011341,2,3
71,71,,0,0,3,0.333333,1,10,0.202777,0.211347,2005.493088,0.003099,3,2
72,72,,6,0,1,0,0,11,0.176303,0.184516,0,0.001402,2,3
73,73,,10,0,14,0.703297,64,11,0.199801,0.216106,376.025596,0.054961,5,1
74,74,,16,0,1,0,0,11,0.143567,0.146592,0,0.000316,9,0
75,75,,17,0,13,0.179487,14,9,0.223025,0.237824,31981.468301,0.020932,9,0
76,76,,10,0,1,0,0,12,0.173187,0.179974,0,0.000863,5,1
77,77,,15,0,2,0,0,11,0.182124,0.190133,1.18338,0.006423,1,1
78,78,,6,0,14,0.241758,22,10,0.212257,0.228282,24403.187887,0.027427,2,3
79,79,,10,0,2,1,1,11,0.18845,0.199134,0,0.005875,5,1
80,80,,17,0,6,0.266667,4,9,0.211292,0.222826,2995.073908,0.009299,9,0
81,81,,0,0,10,0.111111,5,10,0.213153,0.226124,855.060626,0.047574,3,2
82,82,,10,0,3,0.333333,1,11,0.172435,0.17866,834.611588,0.001426,3,2
83,83,,15,0,1,0,0,11,0.186884,0.196325,0,0.008639,1,1
84,84,,6,0,1,0,0,10,0.176324,0.183633,0,0.000902,2,3
85,85,,10,0,9,0.055556,2,10,0.223883,0.237652,74467.849592,0.018484,1,1
86,86,,10,0,1,0,0,11,0.1837,0.192996,0,0.002285,5,1
87,87,,5,0,1,0,0,10,0.180794,0.187929,0,0.000991,2,3
88,88,,5,0,1,0,0,12,0.162288,0.168195,0,0.000944,0,5
89,89,,11,0,1,0,0,12,0.169944,0.177472,0,0.001749,7,7
90,90,,17,0,1,0,0,11,0.186372,0.194464,0,0.001195,9,0
91,91,,10,0,3,1,3,12,0.162784,0.1683,0,0.001878,4,1
92,92,,17,0,3,0,0,11,0.187981,0.197634,2530.86793,0.002059,3,2
93,93,,10,0,1,0,0,12,0.170384,0.177898,0,0.000617,5,1
94,94,,3,0,2,0,0,11,0.172759,0.179761,967.384005,0.001458,8,4
95,95,,8,0,17,0.242647,33,9,0.219045,0.234068,8228.98514,0.03428,4,6
96,96,,17,0,1,0,0,10,0.19603,0.207936,0,0.004497,9,0
97,97,,8,0,10,0.311111,14,10,0.221741,0.234528,14011.589245,0.02636,4,6
98,98,,17,0,12,0.181818,12,9,0.240671,0.259285,53066.563741,0.043613,9,0
99,99,,3,0,1,0,0,10,0.195728,0.204091,0,0.002103,8,4
100,100,,3,0,1,0,0,11,0.1637,0.168413,0,0.000372,8,4
101,101,,17,0,10,0.377778,17,10,0.215114,0.228679,1028.893099,0.025476,9,0
102,102,,0,0,10,0.222222,10,10,0.223143,0.239196,17305.646558,0.06501,3,2
103,103,,6,0,13,0.115385,9,10,0.214521,0.23178,8129.103611,0.035199,2,3
104,104,,5,0,29,0.187192,76,10,0.215181,0.229247,28685.94796,0.027767,0,5
105,105,,5,0,2,0,0,10,0.209377,0.218597,872.528288,0.003171,0,5
106,106,,5,0,20,0.352632,67,10,0.224609,0.239407,17162.51519,0.033182,0,5
107,107,,17,0,5,0.5,5,10,0.214599,0.228096,711.916722,0.015342,9,0
108,108,,14,0,6,0,0,10,0.196982,0.20685,273.978598,0.009017,2,3
109,109,,16,0,4,0,0,10,0.214292,0.22877,15879.030696,0.007657,9,0
110,110,,15,0,89,0.162411,636,10,0.242632,0.265792,245869.668563,0.293894,1,1
111,111,,16,0,3,0.333333,1,10,0.175193,0.181536,7622,0.001473,9,0
112,112,,17,0,45,0.223232,221,10,0.236357,0.258367,23371.911164,0.132407,9,0
113,113,,0,0,44,0.241015,228,9,0.251004,0.275603,130346.769105,0.330846,3,2
114,114,,0,0,4,0,0,10,0.204545,0.216797,5361.472075,0.014086,3,2
115,115,,10,0,1,0,0,10,0.194014,0.201515,0,0.001194,1,0
116,116,,8,0,6,0.733333,11,10,0.197232,0.207066,36.860072,0.009443,4,6
117,117,,17,0,3,0,0,11,0.164183,0.170991,15243,0.001057,9,0
118,118,,10,0,1,0,0,11,0.1751,0.184236,0,0.002075,5,1
119,119,,14,0,5,0.3,3,10,0.213901,0.226322,3242.602168,0.013881,2,3
120,120,,17,0,8,0.357143,10,10,0.191072,0.202006,595.089327,0.008187,9,0
121,121,,17,0,8,0.321429,9,10,0.195492,0.206862,10389.954429,0.008758,0,5
122,122,,16,0,17,0.058824,8,10,0.205594,0.217413,30217.532488,0.010927,9,0
123,123,,17,0,5,0.1,1,10,0.198021,0.208905,2763.988684,0.004096,9,0
124,124,,17,0,3,0,0,10,0.192034,0.200759,7831.279887,0.002393,9,0
125,125,,17,0,2,1,1,10,0.186994,0.194217,0,0.00191,4,6
126,126,,17,0,6,0,0,10,0.194524,0.206367,25639.445837,0.004576,9,0
127,127,,6,0,1,0,0,9,0.21865,0.229357,0,0.004743,4,0
128,128,,0,0,1,0,0,10,0.202009,0.214139,0,0.01385,3,2
129,129,,5,0,1,0,0,11,0.165007,0.170244,0,0.00051,0,0
130,130,,0,0,5,0.1,1,9,0.23904,0.252644,23545.787841,0.023043,3,2
131,131,,10,0,26,0.347692,113,11,0.215108,0.235489,48352.610475,0.087401,5,1
132,132,,10,0,1,0,0,11,0.186186,0.196652,0,0.003575,5,1
133,133,,3,0,12,0.166667,11,10,0.182347,0.191059,14986.315828,0.006087,8,4
134,134,,8,0,1,0,0,11,0.169986,0.176596,0,0.00069,4,6
135,135,,14,0,11,0.236364,13,10,0.208701,0.223741,4623.373228,0.031435,2,3
136,136,,0,0,29,0.179803,73,10,0.222654,0.24044,28813.930629,0.103958,3,2
137,137,,6,0,1,0,0,10,0.200822,0.214244,0,0.009341,2,3
138,138,,0,0,5,0.2,2,10,0.20576,0.21972,9546.712439,0.033574,3,2
139,139,,7,0,12,0.287879,19,10,0.209688,0.223879,15160.60942,0.020238,5,1
140,140,,17,0,14,0.164835,15,9,0.229311,0.24737,13117.749833,0.040651,9,0
141,141,,5,0,5,0.3,3,10,0.198438,0.208062,7172.011472,0.006752,0,5
142,142,,17,0,3,0,0,11,0.176888,0.183919,1013.681945,0.001449,9,0
143,143,,6,0,2,0,0,9,0.201795,0.215742,529.901711,0.010582,2,3
144,144,,10,0,4,0,0,11,0.205311,0.218959,24668.22751,0.008597,5,1
145,145,,0,0,3,0,0,10,0.206099,0.21851,278.871622,0.014555,3,2
146,146,,14,0,3,0.333333,1,10,0.194108,0.203062,119.002553,0.004274,2,3
147,147,,6,0,3,0,0,11,0.198175,0.208147,5998.82021,0.002651,9,0
148,148,,10,0,3,0.333333,1,10,0.197882,0.211251,974.518959,0.010909,5,1
149,149,,10,0,26,0.132308,43,10,0.225033,0.244264,49678.580082,0.058406,5,1
150,150,,17,0,1,0,0,11,0.165498,0.171182,0,0.000678,9,0
151,151,,15,0,8,0.678571,19,10,0.212464,0.225789,987.106409,0.03495,1,1
152,152,,15,0,3,1,3,11,0.202454,0.213604,0,0.023437,1,1
153,153,,5,0,3,1,3,11,0.183074,0.190398,0,0.001987,0,5
154,154,,17,0,1,0,0,10,0.185389,0.193099,0,0.001584,9,0
155,155,,10,0,4,0,0,12,0.164176,0.171215,7706.316701,0.001804,5,1
156,156,,8,0,1,0,0,12,0.162236,0.167205,0,0.00038,1,7
157,157,,17,0,1,0,0,10,0.178162,0.185701,0,0.001325,3,2
158,158,,3,0,4,0.666667,4,11,0.17256,0.179695,5.389286,0.002831,8,4
159,159,,10,0,10,0.155556,7,11,0.209164,0.224595,14917.815324,0.022834,5,1
160,160,,17,0,2,0,0,10,0.204228,0.215714,680.391301,0.004838,9,0
161,161,,17,0,13,0.141026,11,10,0.21029,0.224158,11229.411751,0.014072,9,0
162,162,,10,0,1,0,0,11,0.195969,0.206236,0,0.003598,5,1
163,163,,6,0,1,0,0,12,0.147074,0.15122,0,0.000322,3,5
164,164,,17,0,5,0.5,5,9,0.211974,0.224237,1034.875314,0.009847,9,0
165,165,,14,0,1,0,0,10,0.181396,0.18973,0,0.002182,2,3
166,166,,10,0,19,0.356725,61,10,0.215558,0.233431,44723.231153,0.059385,5,1
167,167,,3,0,20,0.178947,34,10,0.228117,0.242242,244938.102732,0.02074,8,4
168,168,,10,0,4,0,0,11,0.198093,0.211181,1364.807941,0.010186,5,1
169,169,,7,0,6,0.266667,4,11,0.188297,0.195888,6200.641259,0.003331,5,1
170,170,,6,0,1,0,0,10,0.200822,0.214244,0,0.009341,2,3
171,171,,0,0,6,0.133333,2,10,0.222615,0.235576,13960.956825,0.009716,0,5
172,172,,10,0,1,0,0,12,0.162503,0.167437,0,0.000475,5,1
173,173,,10,0,1,0,0,12,0.17312,0.181392,0,0.001256,5,1
174,174,,8,0,7,0.190476,4,10,0.212068,0.225922,11017.25458,0.014853,4,6
175,175,,8,0,10,0.022222,1,10,0.223234,0.234888,48435.324331,0.008884,5,6
176,176,,0,0,1,0,0,11,0.192204,0.201156,0,0.001666,5,1
177,177,,6,0,7,0,0,10,0.203834,0.213852,31839.034709,0.003743,2,3
178,178,,14,0,15,0.27619,29,9,0.217514,0.232406,2791.278366,0.053357,2,3
179,179,,3,0,10,0.155556,7,11,0.186765,0.196315,12642.981943,0.006816,8,4
180,180,,17,0,1,0,0,11,0.180013,0.188098,0,0.001371,9,0
181,181,,0,0,4,0.333333,2,11,0.187449,0.196665,406.23626,0.004865,3,2
182,182,,10,0,1,0,0,11,0.183426,0.189954,0,0.000701,5,1
183,183,,3,0,10,0.511111,23,11,0.181938,0.191759,1038.555016,0.010268,8,4
184,184,,10,0,23,0.288538,73,10,0.229657,0.249541,23780.426116,0.086218,5,1
185,185,,0,0,3,0,0,10,0.204004,0.215313,9192.108619,0.011876,3,2
186,186,,17,0,3,0,0,10,0.18476,0.192498,23074.482663,0.001643,9,0
187,187,,10,0,37,0.12012,80,10,0.221547,0.24197,45245.526803,0.078051,5,1
188,188,,17,0,4,1,6,10,0.222472,0.236058,0,0.019407,9,0
189,189,,17,0,1,0,0,10,0.19603,0.207936,0,0.004497,9,0
190,190,,3,0,4,0,0,11,0.164996,0.171433,7221.046334,0.001825,8,4
191,191,,0,0,2,1,1,10,0.207502,0.220907,0,0.026141,3,2
192,192,,10,0,7,0.380952,8,10,0.220829,0.235379,17128.560445,0.024461,5,1
193,193,,6,0,1,0,0,11,0.166732,0.173231,0,0.000459,3,0
194,194,,17,0,2,0,0,11,0.162693,0.169276,101.339817,0.000824,9,0
195,195,,6,0,2,1,1,10,0.21967,0.232155,0,0.007355,0,5
196,196,,6,0,1,0,0,11,0.175917,0.182881,0,0.000651,2,3
197,197,,17,0,5,0.3,3,11,0.182164,0.190567,52.750033,0.003537,9,0
198,198,,17,0,2,0,0,11,0.188777,0.197262,244.852494,0.002582,9,0
199,199,,17,0,2,0,0,10,0.219892,0.232687,9035.937252,0.007556,0,5
200,200,,5,0,1,0,0,10,0.194683,0.203672,0,0.00162,9,0
201,201,,14,0,3,0.333333,1,12,0.137771,0.142167,7622,0.001489,0,5
202,202,,0,0,2,0,0,11,0.190508,0.199322,16.841734,0.003328,3,2
203,203,,0,0,4,0.666667,4,11,0.200415,0.211896,416.838901,0.014634,3,2
204,204,,0,0,9,0.083333,3,9,0.228111,0.242087,24847.407661,0.015512,4,0
205,205,,7,0,1,0,0,12,0.17274,0.180069,0,0.001078,5,1
206,206,,5,0,2,0,0,11,0.177118,0.184864,1435.546412,0.000903,0,0
207,207,,10,0,1,0,0,11,0.170877,0.176315,0,0.000506,4,0
208,208,,10,0,4,0.833333,5,11,0.175459,0.181149,259.402453,0.002297,4,1
209,209,,0,0,16,0.25,30,10,0.231604,0.249914,51389.16757,0.103281,3,2
210,210,,17,0,1,0,0,11,0.178332,0.184299,0,0.000444,9,0
211,211,,6,0,8,0.071429,2,10,0.209602,0.225396,4905.260891,0.02277,2,3
212,212,,5,0,51,0.156863,200,10,0.232288,0.251226,138172.49472,0.067487,0,5
213,213,,10,0,47,0.19334,209,10,0.238539,0.261714,84341.515565,0.145005,5,1
214,214,,14,0,2,0,0,11,0.164743,0.170137,7622,0.000786,9,0
215,215,,6,0,1,0,0,11,0.169838,0.176483,0,0.00058,8,4
216,216,,13,0,25,0.393333,118,11,0.186381,0.194901,23281.018411,0.021556,6,9
217,217,,17,0,6,0.133333,2,11,0.185447,0.194993,3783.823205,0.003533,9,0
218,218,,3,0,4,0,0,10,0.189707,0.197288,8075.839678,0.002028,8,4
219,219,,14,0,6,0.333333,5,9,0.221046,0.23807,3712.222256,0.032615,2,3
220,220,,17,0,1,0,0,11,0.185078,0.193326,0,0.001605,9,0
221,221,,17,0,39,0.133603,99,10,0.249444,0.272101,173350.282973,0.105277,9,0
222,222,,17,0,5,0.2,2,10,0.202089,0.215666,1341.912668,0.007971,9,0
223,223,,17,0,9,0.166667,6,10,0.216084,0.230366,2499.863404,0.017651,9,0
224,224,,0,0,1,0,0,11,0.203535,0.21632,0,0.01792,3,2
225,225,,10,0,4,0,0,11,0.187754,0.194553,15263.809033,0.001915,5,1
226,226,,5,0,22,0.329004,76,10,0.216433,0.231099,22039.410187,0.029345,0,5
227,227,,0,0,2,0,0,11,0.175294,0.183275,51.304144,0.001432,3,2
228,228,,5,0,22,0.402597,93,10,0.198946,0.21088,1705.201165,0.031479,0,5
229,229,,0,0,3,1,3,11,0.188115,0.19805,0,0.006786,3,2
230,230,,17,0,4,0,0,11,0.16701,0.173953,15260.75279,0.001527,9,0
231,231,,11,0,2,0,0,12,0.147222,0.152456,58.426854,0.001107,8,4
232,232,,17,0,17,0.485294,66,10,0.23265,0.251912,10655.823687,0.075898,9,0
233,233,,0,0,3,0,0,10,0.196287,0.206352,248.725994,0.005816,3,2
234,234,,0,0,4,0.5,3,11,0.192451,0.202465,7622,0.006752,3,2
235,235,,6,0,2,0,0,10,0.183523,0.192784,1771.51725,0.002334,9,6
236,236,,10,0,1,0,0,10,0.186236,0.193809,0,0.000924,3,2
237,237,,17,0,1,0,0,11,0.188744,0.198099,0,0.002575,9,0
238,238,,16,0,4,0.5,3,9,0.192034,0.199458,1212.300861,0.0034,9,0
239,239,,4,0,3,0,0,12,0.153106,0.158045,15243,0.000964,5,1
240,240,,17,0,5,0.4,4,10,0.211076,0.227304,5096.172872,0.018654,9,0
241,241,,3,0,6,0.266667,4,12,0.170663,0.178677,1081.951712,0.005496,8,4
242,242,,16,0,1,0,0,11,0.157088,0.161211,0,0.00032,9,0
243,243,,17,0,10,0.466667,21,11,0.190646,0.200399,6530.86872,0.009153,0,5
244,244,,0,0,33,0.104167,55,10,0.238928,0.261676,147410.768742,0.135704,3,2
245,245,,10,0,1,0,0,12,0.135066,0.138045,0,0.00043,5,8
246,246,,3,0,3,0.333333,1,10,0.192924,0.200423,2881.750847,0.001929,8,4
247,247,,16,0,1,0,0,11,0.163619,0.169263,0,0.000515,9,0
248,248,,9,0,1,0,0,11,0.155683,0.159247,0,0.000344,1,7
249,249,,14,0,2,0,0,11,0.177345,0.184818,542.243847,0.001031,0,5
250,250,,17,0,2,0,0,11,0.185159,0.194218,6.285044,0.00231,9,0
251,251,,3,0,4,0.166667,1,10,0.185818,0.19502,12343.986904,0.002244,8,4
252,252,,15,0,16,0.766667,92,10,0.217645,0.232643,205.710179,0.102081,1,1
253,253,,10,0,9,0.138889,5,11,0.191711,0.204007,12672.897069,0.009454,5,1
254,254,,10,0,2,0,0,11,0.163244,0.169941,3.644444,0.001109,5,1
255,255,,0,0,7,0.428571,9,10,0.223752,0.239697,7899.664349,0.046469,3,2
256,256,,3,0,1,0,0,11,0.184634,0.190937,0,0.000826,8,4
257,257,,8,0,16,0.283333,34,10,0.214938,0.229279,9884.611326,0.035339,4,6
258,258,,16,0,2,0,0,12,0.172818,0.180117,2442.03425,0.000867,9,6
259,259,,10,0,5,0.1,1,10,0.204699,0.217807,22293.488063,0.009909,5,1
260,260,,17,0,17,0.375,51,9,0.225599,0.244197,3614.204793,0.0598,9,0
261,261,,6,0,1,0,0,10,0.203611,0.21492,0,0.006216,3,2
262,262,,10,0,1,0,0,12,0.153038,0.157504,0,0.000377,5,1
263,263,,13,0,1,0,0,11,0.181198,0.186663,0,0.000462,8,4
264,264,,10,0,2,0,0,11,0.195116,0.207897,38.162259,0.008634,5,1
265,265,,10,0,1,0,0,12,0.162752,0.168531,0,0.000529,5,1
266,266,,10,0,10,0.066667,3,10,0.214424,0.228828,20565.696457,0.016791,5,1
267,267,,8,0,2,1,1,11,0.170801,0.177204,0,0.001055,4,6
268,268,,17,0,4,0,0,10,0.196338,0.204407,8531.30365,0.002371,9,0
269,269,,14,0,1,0,0,11,0.173621,0.179352,0,0.00091,5,8
270,270,,14,0,1,0,0,10,0.181647,0.187719,0,0.000508,4,0
271,271,,0,0,17,0.088235,12,10,0.220503,0.23845,28739.924402,0.067705,3,2
272,272,,17,0,4,0,0,11,0.182307,0.190941,2021.660156,0.002452,9,0
273,273,,17,0,3,0,0,10,0.20917,0.221429,1526.351257,0.007378,9,0
274,274,,10,0,1,0,0,12,0.159064,0.164719,0,0.000438,5,1
275,275,,1,0,4,0.5,3,11,0.193389,0.200307,2630.862256,0.002736,8,4
276,276,,17,0,1,0,0,10,0.19603,0.207936,0,0.004497,9,0
277,277,,17,0,5,0,0,10,0.194757,0.204734,14958.517911,0.00314,9,0
278,278,,17,0,2,0,0,11,0.181414,0.189892,99.08644,0.001842,9,0
279,279,,0,0,2,0,0,10,0.205317,0.218492,388.995961,0.018618,3,2
280,280,,8,0,7,0.095238,2,11,0.181362,0.190213,157.834905,0.005825,4,6
281,281,,0,0,2,0,0,10,0.204545,0.218008,2.105668,0.028478,3,2
282,282,,10,0,6,0.066667,1,10,0.201635,0.211928,18946.929008,0.004418,5,1
283,283,,10,0,14,0.065934,6,11,0.215729,0.230849,27431.087257,0.030254,5,1
284,284,,0,0,2,0,0,11,0.172411,0.179526,7622,0.001261,3,2
285,285,,3,0,22,0.125541,29,11,0.187495,0.198997,35771.518267,0.01653,8,4
286,286,,0,0,5,0.3,3,10,0.225486,0.241173,927.811854,0.050197,3,2
287,287,,0,0,8,0.107143,3,9,0.214304,0.224353,25640.118342,0.006234,3,2
288,288,,10,0,1,0,0,11,0.197841,0.207857,0,0.003388,5,1
289,289,,17,0,8,0.25,7,9,0.221844,0.239013,4405.873097,0.022685,9,0
290,290,,0,0,104,0.104556,560,9,0.253138,0.281211,275584.637295,0.532243,3,2
291,291,,10,0,16,0.216667,26,11,0.197109,0.212513,60067.037625,0.026419,5,1
292,292,,17,0,1,0,0,10,0.208746,0.220509,0,0.007095,9,0
293,293,,9,0,1,0,0,11,0.181198,0.18706,0,0.0007,1,7
294,294,,12,0,3,0,0,11,0.161744,0.166976,1263.839636,0.001154,8,4
295,295,,17,0,3,0,0,10,0.199122,0.209017,4818.719653,0.002871,9,0
296,296,,5,0,39,0.232119,172,10,0.225399,0.242724,48451.402575,0.056165,0,5
297,297,,17,0,3,0,0,10,0.200373,0.21284,1200.476948,0.005056,9,0
298,298,,10,0,1,0,0,12,0.150044,0.154922,0,0.000425,5,1
299,299,,17,0,20,0.157895,30,9,0.234417,0.249328,48415.010082,0.029277,9,0
300,300,,3,0,2,0,0,10,0.195813,0.204421,2345.853392,0.002694,8,4
301,301,,0,0,3,0,0,10,0.199748,0.210619,477.750642,0.008719,3,2
302,302,,16,0,8,0.178571,5,9,0.20156,0.210269,18177.752507,0.006016,7,0
303,303,,17,0,2,0,0,11,0.18176,0.189577,4295.643465,0.001663,0,5
304,304,,0,0,1,0,0,12,0.142662,0.146858,0,0.000348,3,2
305,305,,10,0,2,0,0,13,0.121693,0.12415,7622,0.000597,5,1
306,306,,8,0,22,0.220779,51,10,0.208849,0.222555,16127.618235,0.037314,4,6
307,307,,8,0,11,0.672727,37,9,0.216772,0.229777,1503.374146,0.032267,4,6
308,308,,12,0,3,0,0,10,0.186523,0.194178,18340.273465,0.00208,8,4
309,309,,17,0,2,0,0,11,0.169596,0.17647,7622,0.000878,9,0
310,310,,10,0,1,0,0,12,0.144195,0.148239,0,0.000339,5,1
311,311,,0,0,3,0.333333,1,10,0.187132,0.196431,78.16303,0.004507,3,2
312,312,,8,0,9,0.527778,19,10,0.214033,0.226472,2805.585253,0.022221,4,6
313,313,,10,0,19,0.134503,23,11,0.19441,0.204503,72073.963371,0.010014,4,1
314,314,,10,0,8,0.178571,5,11,0.203193,0.217462,7259.400808,0.014553,5,1
315,315,,3,0,5,0.4,4,11,0.191168,0.199518,10018.835884,0.003253,8,4
316,316,,10,0,3,0,0,11,0.179601,0.188954,180.988189,0.002737,5,1
317,317,,5,0,1,0,0,11,0.176238,0.182956,0,0.001031,0,5
318,318,,6,0,2,0,0,10,0.207051,0.218448,4400.445375,0.010108,2,3
319,319,,0,0,5,0,0,11,0.193644,0.203699,20619.185471,0.006359,3,2
320,320,,0,0,2,0,0,11,0.185782,0.196422,110.052859,0.007037,3,2
321,321,,0,0,5,0.1,1,10,0.199623,0.211285,9076.942209,0.013816,3,2
322,322,,6,0,4,0.833333,5,10,0.198448,0.209851,2.431606,0.00616,2,3
323,323,,17,0,4,0.833333,5,9,0.2054,0.217506,39.320073,0.00931,9,0
324,324,,14,0,4,0,0,10,0.186838,0.196507,1239.795806,0.003218,2,3
325,325,,2,0,4,0.666667,4,10,0.180781,0.187954,113.753324,0.004758,5,8
326,326,,5,0,8,0.321429,9,10,0.219228,0.232227,13196.682766,0.011854,0,5
327,327,,10,0,1,0,0,10,0.193561,0.202897,0,0.002542,5,1
328,328,,14,0,2,0,0,11,0.163328,0.168596,229.072031,0.000737,8,3
329,329,,17,0,7,0.380952,8,10,0.206871,0.219919,2887.108939,0.014685,9,0
